name,birthday,nationality
Wagner Moura,1976-06-27,BRAZIL
Lázaro Ramos,1978-11-01,BRAZIL
Selton Mello,1972-12-30,BRAZIL
Rodrigo Santoro,1975-08-22,BRAZIL
Cauã Reymond,1980-05-20,BRAZIL
Tony Ramos,1948-08-25,BRAZIL
Antônio Fagundes,1949-04-18,BRAZIL
Matheus Nachtergaele,1969-01-03,BRAZIL
Chay Suede,1992-06-30,BRAZIL
Alexandre Nero,1970-02-13,BRAZIL
Brad Pitt,1963-12-18,USA
Tom Hanks,1956-07-09,USA
Johnny Depp,1963-06-09,USA
Denzel Washington,1954-12-28,USA
Morgan Freeman,1937-06-01,USA
Jake Gyllenhaal,1980-12-19,USA
Tom Cruise,1962-07-03,USA
Adam Driver,1983-11-19,USA
Will Smith,1968-09-25,USA
Matthew McConaughey,1969-11-04,USA
